id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
C1,OSS,C1,turbine,40.93130929,-124.7305031,6,6,6,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4798.63,6408.56,4798.63,6408.56,1.63179604,0
e,OSS,e,turbine,40.9360103,-124.7475429,6,7,6,7,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3364.28,6930.62,3364.28,6930.62,1.631881488,0
h,OSS,h,turbine,40.94071131,-124.7645852,6,8,6,8,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1929.93,7452.68,1929.93,7452.68,1.631983063,0
B7,OSS,B7,turbine,40.90310312,-124.6283147,7,0,7,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13404.7,3276.2,13404.7,3276.2,3.513976587,0
G4,OSS,G4,turbine,40.9075088,-124.7033204,7,1,7,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7085.34,3765.46,7085.34,3765.46,6.430516857,0
H4,OSS,H4,turbine,40.91220984,-124.7203523,7,2,7,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5650.99,4287.52,5650.99,4287.52,1.631743311,0
B1,OSS,B1,turbine,40.91691087,-124.7373864,7,3,7,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4216.65,4809.58,4216.65,4809.58,1.631820986,0
d,OSS,d,turbine,40.92161189,-124.7544231,7,4,7,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2782.3,5331.64,2782.3,5331.64,1.631930197,0
A7,OSS,A7,turbine,40.88870463,-124.6352175,8,0,8,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12822.7,1677.22,12822.7,1677.22,5.216901557,0
D7,OSS,D7,turbine,40.89340568,-124.6522391,8,1,8,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11388.4,2199.28,11388.4,2199.28,1.631312705,0
C6,OSS,C6,turbine,40.89810672,-124.669264,8,2,8,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9954.03,2721.34,9954.03,2721.34,1.631477364,0
E5,OSS,E5,turbine,40.90280776,-124.6862909,8,3,8,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8519.69,3243.4,8519.69,3243.4,1.631539733,0
D5,OSS,D5,turbine,40.88840927,-124.6931809,8,4,8,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7937.71,1644.42,7937.71,1644.42,1.810565277,0
F4,OSS,F4,turbine,40.89311032,-124.7102072,8,5,8,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6503.36,2166.48,6503.36,2166.48,1.631689798,0
G3,OSS,G3,turbine,40.89781137,-124.7272358,8,6,8,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5069.01,2688.54,5069.01,2688.54,1.631775866,0
A1,OSS,A1,turbine,40.90251241,-124.7442668,8,7,8,7,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3634.67,3210.6,3634.67,3210.6,1.631869414,0
c,OSS,c,turbine,40.90721345,-124.7613002,8,8,8,8,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2200.32,3732.66,2200.32,3732.66,1.631963309,0
b,OSS,b,turbine,40.89281487,-124.7681744,8,9,8,9,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1618.34,2133.67,1618.34,2133.67,1.810110358,0
G2,OSS,G2,turbine,40.88811382,-124.7511443,8,10,8,10,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3052.68,1611.61,3052.68,1611.61,1.631995843,0
OSS,OSS,OSS,substation,40.9319,-124.6145,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,14568.7,6474.16,14568.7,6474.16,0,0
